origem,usuario,mensagem,data,sentimentalidade,categoria
BOT,lucas.dias,"Boa, o erro de sincronizacao sumiu.",2025-01-01 05:17:04,NEUTRA,BUGS
BOT,joao.correa,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-01-01 08:05:13,NEGATIVA,SUPORTE/ATENDIMENTO
CSAT,rafael.ribeiro,Tem trilha de treinamento para novos usuarios?,2025-01-01 13:32:22,NEUTRA,TREINAMENTO/ONBOARDING
NPS,thiago.lima,A API esta retornando 401 mesmo com token valido.,2025-01-01 16:45:27,NEGATIVA,API/AUTENTICACAO
CSAT,bruno.souza,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-01-01 23:54:35,NEGATIVA,SUPORTE/ATENDIMENTO
CSAT,fernanda.martins,"Nao carrega a tela inicial, fica em loading infinito.",2025-01-01 23:56:24,NEUTRA,FINANCEIRO
BuzzMonitor,lucas.gomes,"Atendimento excelente, resolveram em minutos.",2025-01-02 00:56:22,POSITIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,lucas.lima,"O processo de pagamento ficou mais simples, ajudou muito.",2025-01-02 04:57:29,NEUTRA,FINANCEIRO
BOT,rafael.nascimento,A exportacao para contabilidade funcionou de primeira.,2025-01-02 06:03:12,POSITIVA,FEEDBACK GERAL
CSAT,leonardo.rocha,Onde eu encontro o historico de faturas?,2025-01-02 14:18:24,NEUTRA,FINANCEIRO
NPS,fernanda.araujo,Resposta rapida e com orientacao completa.,2025-01-02 14:27:16,NEUTRA,API/AUTENTICACAO
BOT,mariana.silva,Tem atalho para acessar relatorios mais rapido?,2025-01-03 00:02:33,POSITIVA,API/AUTENTICACAO
NPS,leonardo.silva,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-01-03 00:05:16,NEGATIVA,FINANCEIRO
NPS,ana.dias,O atendimento foi rude e nao ajudou.,2025-01-03 04:36:59,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,lucas.carvalho,"Atendimento excelente, resolveram em minutos.",2025-01-03 09:08:51,POSITIVA,SUPORTE/ATENDIMENTO
BOT,juliana.silva,Vocês recomendam qual navegador?,2025-01-03 11:14:52,NEUTRA,FEEDBACK GERAL
NPS,thiago.carvalho,Vocês oferecem implantacao assistida?,2025-01-03 21:22:35,NEUTRA,FEEDBACK GERAL
BuzzMonitor,thiago.silva,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-01-04 07:01:38,NEGATIVA,FINANCEIRO
NPS,camila.elias,Os dados do CRM estao vindo incompletos na integracao.,2025-01-04 07:34:44,NEUTRA,FEEDBACK GERAL
CSAT,laura.martins,O boleto nao foi gerado e estou com pagamento em atraso por causa disso. Preciso de retorno urgente.,2025-01-04 10:35:36,NEGATIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,patricia.gomes,O menu mudou e agora ficou pior de usar.,2025-01-04 21:40:10,NEUTRA,FEEDBACK GERAL
