origem,usuario,mensagem,data
BOT,lucas.dias,"Boa, o erro de sincronizacao sumiu.",2025-01-01 05:17:04
BOT,joao.correa,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-01-01 08:05:13
CSAT,rafael.ribeiro,Tem trilha de treinamento para novos usuarios?,2025-01-01 13:32:22
NPS,thiago.lima,A API esta retornando 401 mesmo com token valido.,2025-01-01 16:45:27
CSAT,bruno.souza,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-01-01 23:54:35
CSAT,fernanda.martins,"Nao carrega a tela inicial, fica em loading infinito.",2025-01-01 23:56:24
BuzzMonitor,lucas.gomes,"Atendimento excelente, resolveram em minutos.",2025-01-02 00:56:22
BuzzMonitor,lucas.lima,"O processo de pagamento ficou mais simples, ajudou muito.",2025-01-02 04:57:29
BOT,rafael.nascimento,A exportacao para contabilidade funcionou de primeira.,2025-01-02 06:03:12
CSAT,leonardo.rocha,Onde eu encontro o historico de faturas?,2025-01-02 14:18:24
NPS,fernanda.araujo,Resposta rapida e com orientacao completa.,2025-01-02 14:27:16
BOT,mariana.silva,Tem atalho para acessar relatorios mais rapido?,2025-01-03 00:02:33
NPS,leonardo.silva,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-01-03 00:05:16
NPS,ana.dias,O atendimento foi rude e nao ajudou.,2025-01-03 04:36:59
BuzzMonitor,lucas.carvalho,"Atendimento excelente, resolveram em minutos.",2025-01-03 09:08:51
BOT,juliana.silva,Vocês recomendam qual navegador?,2025-01-03 11:14:52
NPS,thiago.carvalho,Vocês oferecem implantacao assistida?,2025-01-03 21:22:35
BuzzMonitor,thiago.silva,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-01-04 07:01:38
NPS,camila.elias,Os dados do CRM estao vindo incompletos na integracao.,2025-01-04 07:34:44
CSAT,laura.martins,O boleto nao foi gerado e estou com pagamento em atraso por causa disso. Preciso de retorno urgente.,2025-01-04 10:35:36
BuzzMonitor,patricia.gomes,O menu mudou e agora ficou pior de usar.,2025-01-04 21:40:10
CSAT,leonardo.correa,Existe um canal para enviar ideias? Preciso de retorno urgente. Ticket 97501.,2025-01-04 23:44:44
BuzzMonitor,juliana.nascimento,Tem boas praticas para melhorar performance?,2025-01-05 00:11:29
BOT,gustavo.souza,A experiencia de uso evoluiu muito. Preciso de retorno urgente.,2025-01-05 03:31:30
NPS,joao.teixeira,"A equipe acompanhou a implantacao, foi tranquilo.",2025-01-05 04:30:30
BOT,diego.elias,"A fatura veio com reajuste sem aviso, podem verificar?",2025-01-05 06:18:47
BuzzMonitor,laura.dias,Vocês tem exemplo de payload para webhooks?,2025-01-05 09:17:53
NPS,vitor.elias,Depois do patch nao ocorre mais duplicacao na importacao. Preciso de retorno urgente.,2025-01-05 12:00:50
NPS,vitor.martins,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-01-05 16:28:11
BOT,gustavo.carvalho,Quando tento exportar CSV ele vem vazio. Ticket 43175.,2025-01-05 17:47:04
BuzzMonitor,laura.nascimento,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-05 22:02:45
BuzzMonitor,fernanda.ferreira,Hoje o sistema esta super rapido e sem quedas.,2025-01-05 22:41:49
BuzzMonitor,carla.ferreira,A integracao com o ERP nao esta sincronizando.,2025-01-06 02:17:20
CSAT,joao.nascimento,"Atendimento excelente, resolveram em minutos.",2025-01-06 04:00:28
BOT,juliana.carvalho,Posso enviar logs para ajudar a investigar?,2025-01-06 07:08:32
BuzzMonitor,vitor.rocha,A plataforma caiu agora e nao consigo acessar.,2025-01-06 07:13:02
BOT,mariana.almeida,Quero participar do beta de novas funcoes.,2025-01-06 07:27:18
BuzzMonitor,carla.silva,A exportacao para contabilidade funcionou de primeira.,2025-01-06 08:00:12
NPS,laura.martins,Quando tento exportar CSV ele vem vazio.,2025-01-06 11:33:37
BOT,vitor.mendes,A busca demora demais e trava o navegador.,2025-01-06 19:56:34
CSAT,rafael.silva,Tem alguma pagina de status para acompanhar? Ticket 51220.,2025-01-07 01:56:38
BuzzMonitor,leonardo.dias,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-01-07 11:00:20
NPS,mario.almeida,As telas estao com lentidao em horario comercial.,2025-01-08 16:22:42
BuzzMonitor,diego.martins,Existe modo escuro?,2025-01-08 16:52:43
CSAT,juliana.ribeiro,Nao consigo atualizar meus dados de pagamento no sistema. Ticket 41939.,2025-01-09 01:37:38
BOT,carla.nascimento,"A equipe acompanhou a implantacao, foi tranquilo. Preciso de retorno urgente.",2025-01-09 04:49:52
CSAT,diego.almeida,Depois do patch nao ocorre mais duplicacao na importacao.,2025-01-09 10:43:27
BuzzMonitor,rafael.correa,A exportacao para contabilidade funcionou de primeira.,2025-01-09 23:28:14
BuzzMonitor,bruno.teixeira,O suporte demorou muito para responder meu chamado. Preciso de retorno urgente.,2025-01-10 08:59:58
NPS,vitor.barbosa,A API esta bem mais rapida nessa versao.,2025-01-10 12:10:06
NPS,mario.rocha,Tem trilha de treinamento para novos usuarios?,2025-01-10 13:48:50
BOT,gustavo.barbosa,"Gostei do conector com o ERP, poupou tempo.",2025-01-10 14:23:25
BuzzMonitor,juliana.silva,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-11 05:34:14
BuzzMonitor,gustavo.rocha,Qual o passo a passo recomendado para comecar? Preciso de retorno urgente.,2025-01-11 12:36:33
BuzzMonitor,juliana.ribeiro,"A performance melhorou muito, ta voando.",2025-01-11 23:21:56
CSAT,carla.almeida,Nao consegui importar meus dados iniciais.,2025-01-12 08:42:53
BuzzMonitor,gustavo.almeida,Tem alguma pagina de status para acompanhar?,2025-01-12 13:02:35
BuzzMonitor,vitor.gomes,O webhooks estao falhando e não recebo eventos. Ticket 56908.,2025-01-12 15:47:03
BuzzMonitor,mariana.pereira,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-12 19:35:43
BOT,mariana.pereira,Como configuro 2FA para todos os usuarios?,2025-01-13 00:27:06
CSAT,rafael.silva,Ficou travando e desconectando toda hora.,2025-01-13 02:15:05
BuzzMonitor,rafael.martins,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-01-13 16:32:58
NPS,joao.ferreira,"Relatorios agora carregam rapido, excelente.",2025-01-13 20:34:17
CSAT,thiago.elias,A integracao com o ERP nao esta sincronizando. Preciso de retorno urgente.,2025-01-14 01:21:58
NPS,bruno.elias,"O time de CS acompanhou ate a solucao, show. Preciso de retorno urgente.",2025-01-14 05:40:53
CSAT,rafael.nascimento,A nova interface ficou bem mais intuitiva.,2025-01-14 06:58:45
